ID,Category,Latitude,Longitude
11455508,SUISUN BAY A VAN SICKLE ISLAND NR PITTSBURG CA,38.04953056,-121.88755
374938122251801,SAN FRANCISCO BAY A NE SHORE ALCATRAZ ISLAND CA,37.8272222,-122.4216667
380631122032201,GRIZZLY BAY A SUISUN SLOUGH NR AVON CA,38.10853056,-122.0559806
380924121301901,STATEN ISLAND NR TERMINOUS CA,38.15665,-121.5051889
381142122015801,FIRST MALLARD BRANCH NR FAIRFIELD CA,38.19489444,-122.0328139
09013900,"GRAND LAKE AT GRAND LAKE, CO.",40.2433333,-105.8130556
09014500,"SHADOW MOUNTAIN LAKE NEAR GRAND LAKE, CO.",40.2100833,-105.8420833
09018500,"LAKE GRANBY NEAR GRANBY, CO.",40.1497222,-105.8649
09041395,"WOLFORD MTN RESERVOIR NR KREMMLING, CO",40.1127629,-106.4150324
400631105585501,"WINDY GAP RESERVOIR NR PUMP INTAKES NR GRANBY, CO",40.10841667,-105.9823611
400806105474700,"LAKE GRANBY (EAST) NEAR GRANBY, CO",40.135,-105.7963889
400853105563701,"WILLOW CREEK RESERVOIR NEAR DAM NEAR GRANBY, CO",40.14805556,-105.9436111
401030105521101,"LAKE GRANBY NR PUMP STATION INTAKE NR GRAND LK, CO",40.175,-105.8697222
401331105501401,"SHADOW MOUNTAIN LAKE NEAR MIDLAKE NEAR GRAND LK, C",40.22527778,-105.8372222
401428105481601,"GRAND LAKE NR ADAMS TUNNEL W. PORTAL, GRAND LK, CO",40.2411111,-105.8044444
411513072512301,"FARM RIVER AT FARM RIVER MARINA NR EAST HAVEN, CT",41.25351389,-72.8564111
411626072514501,"FARM RIVER AT THE TROLLY MUSEUM AT EAST HAVEN, CT",41.2739722,-72.86246389
423784088133401,"Long Lake at BEN Dock at Long Lake, IL",42.3784,-88.1334
413704087153501,"GRAND CALUMET LAGOON AT MARQUETTE PARK AT GARY, IN",41.61777778,-87.2597222
07380249,"Caminada Pass NW of Grand Isle, LA",29.2313611,-90.0485278
073802512,"Hackberry Bay NW of Grand Isle, LA",29.39858028,-90.0411947
073802514,Barataria Waterway at Champagne Bay nr Grand Isle,29.3336111,-89.9885
07380260,"Empire Waterway south of Empire, LA",29.30452778,-89.597
07380330,"Bayou Perot at Point Legard near Cutoff, LA",29.56577778,-90.1655556
292800090060000,"Little Lake near Bay Dosgris E of Galliano, LA",29.46666667,-90.1
300138090064700,"New Canal Lighthouse at New Orleans, LA",30.02716667,-90.1131667
011008745,"MERRIMACK R ESTUARY US OF SHAD CRK, SALISBURY, MA",42.8193,-70.839
423223070531001,DANVERS RIVER AT BEVERLY PIER AT BEVERLY MA,42.53975,-70.88615
402109094464601,"Southern Mozingo Reservoir near Pickering, MO",40.35261667,-94.7794917
01303152,WEST HARBOR AT OYSTER BAY NWR AT BAYVILLE NY,40.90355556,-73.5433611
01304057,FLAX POND AT OLD FIELD NY,40.9628611,-73.1431667
01304562,PECONIC RIVER AT COUNTY HWY 105 AT RIVERHEAD NY,40.91777778,-72.6386667
01304650,SHELTER ISLAND SOUND AT SHELTER ISLAND NY,41.04430556,-72.3169722
01310740,REYNOLDS CHANNEL AT POINT LOOKOUT NY,40.5934366,-73.5837396
01311143,HOG ISLAND CHANNEL AT ISLAND PARK NY,40.60865278,-73.6561722
04236000,SKANEATELES LAKE AT SKANEATELES NY,42.94476667,-76.4291917
431314077315901,IRONDEQUOIT BAY AT POINT PLEASANT NY,43.22059167,-77.5332333
431533076582101,SODUS BAY AT SAND POINT NY,43.2593,-76.9724806
431946118493601,MALHEUR LAKE - MESOCOSM 1,43.32930556,-118.8265833
431946118493602,MALHEUR LAKE - MESOCOSM 2,43.32930556,-118.8265833
431946118493603,MALHEUR LAKE - MESOCOSM 3,43.32930556,-118.8265833
431946118493604,MALHEUR LAKE - MESOCOSM 4,43.32930556,-118.8265833
431946118493605,MALHEUR LAKE - MESOCOSM 5,43.32930556,-118.8265833
431946118493606,MALHEUR LAKE - MESOCOSM 6,43.32930556,-118.8265833
431946118493607,MALHEUR LAKE - MESOCOSM 7,43.32930556,-118.8265833
431946118493608,MALHEUR LAKE - MESOCOSM 8,43.32930556,-118.8265833
431946118493609,MALHEUR LAKE - MESOCOSM 9,43.32930556,-118.8265833
431946118493610,MALHEUR LAKE - MESOCOSM 10,43.32930556,-118.8265833
441022122193200,"BLUE RIVER LAKE NEAR BLUE RIVER, OR (WQM)",44.17319444,-122.3242222
444306122144600,"DETROIT LAKE AT LOG BOOM BEHIND DETROIT DAM, OR",44.7183194,-122.2461389
294643095035200,"Lynchburg Res nr CWA Canal Inflow nr Baytown, TX",29.7785861,-95.0644278
295826095082200,"Lk Houston S Union Pacific RR Bridge nr Houston,TX",29.97393333,-95.1393833
